HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"0301","0","Live fish:","","","","","",""
"","1","Ornamental fish:","","","","","",""
"0301.11.00","2","Freshwater","","Free","","Free","",""
"0301.11.00.10","3","Koi (common) carp (<i>Cyprinus carpio</i>)","[""kg""]","","","","",""
"0301.11.00.20","3","Goldfish( <i>Carassius auratus</i>), Crucian carp (<i>Carassius carassius</i>)","[""kg""]","","","","",""
"0301.11.00.90","3","Other","[""kg""]","","","","",""
"0301.19.00.00","2","Other","[""kg""]","Free","","Free","",""
"","1","Other live fish:","","","","","",""
"0301.91.00.00","2","Trout (<i>Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache </i>and<i> Oncorhynchus chrysogaster</i>)","[""kg""]","Free","","Free","",""
"0301.92.00.00","2","Eels (<i>Anguilla spp.</i>)","[""kg""]","Free","","Free","",""
"0301.93.02","2","Carp (<i>Cyprinus spp</i>., <i>Carassius spp</i>., <i>Ctenopharyngodon</i> <i>idellus</i>, <i>Hypophthalmichthys spp</i>., <i>Cirrhinus spp</i>., <i>Mylopharyngodon piceus</i>, <i>Catla catla</i>, <i>Labeo spp</i>., <i>Osteochilus hasselti</i>, <i>Leptobarbus hoeveni</i>, <i>Megalobrama spp</i>.)","","Free","","Free","",""
"0301.93.02.10","3","Grass carp (<i>Ctenopharyngodon idellus</i>), silver carp (<i>Hypophthalmichthys molitrix</i>) and bighead carp (<i>Aristichthys nobilis</i>)","[""kg""]","","","","",""
"0301.93.02.90","3","Other","[""kg""]","","","","",""
"0301.94.01.00","2","Atlantic and Pacific bluefin tunas (<i>Thunnus thynnus, Thunnus orientalis</i>)","[""kg""]","Free","","Free","",""
"0301.95.00.00","2","Southern Bluefin tunas (<i>Thunnus maccoyii</i>)","[""kg""]","Free","","Free","",""
"0301.99.03","2","Other","","Free","","Free","",""
"0301.99.03.10","3","Tench (<i>Tinca tinca</i>), sheatfish (<i>Silurus glanis</i>)","[""kg""]","","","","",""
"0301.99.03.15","3","Bighead carp (<i>Aristichthys nobilis</i>)","[""kg""]","","","","",""
"0301.99.03.90","3","Other","[""kg""]","","","","",""
"0302","0","Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304:","","","","","",""
"","1","Salmonidae, excluding edible fish offal of subheadings 0302.91 to 0302.99:","","","","","",""
"0302.11.00","2","Trout (<i>Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache </i> <i><i>and </i></i><i>Oncorhynchus chrysogaster</i>)","","Free","","2.2¢/kg","",""
"0302.11.00.10","3","Rainbow trout (<i>Salmo gairdneri</i>), farmed","[""kg""]","","","","",""
"0302.11.00.90","3","Other","[""kg""]","","","","",""
"0302.13.00","2","Pacific salmon (<i>Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou</i> and <i>Oncorhynchus rhodurus</i>)","","Free","","4.4¢/kg","",""
"","3","Chinook (king):","","","","","",""
"0302.13.00.13","4","Farmed","[""kg""]","","","","",""
"0302.13.00.14","4","Not farmed","[""kg""]","","","","",""
"0302.13.00.22","3","Chum (dog)","[""kg""]","","","","",""
"0302.13.00.32","3","Pink (humpie)","[""kg""]","","","","",""
"0302.13.00.42","3","Sockeye (red)","[""kg""]","","","","",""
"","3","Coho (silver):","","","","","",""
"0302.13.00.53","4","Farmed","[""kg""]","","","","",""
"0302.13.00.54","4","Not farmed","[""kg""]","","","","",""
