HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"","1","Fish of the families <i>Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae</i> and <i>Muraenolepididae</i>, excluding edible fish offal of subheadings 0303.91 to 0303.99:","","","","","",""
"0303.63.00","2","Cod (<i>Gadus morhua, Gadus ogac, Gadus macrocephalus</i>)","","Free","","2.2¢/kg","",""
"0303.63.00.10","3","Atlantic","[""kg""]","","","","",""
"0303.63.00.90","3","Other","[""kg""]","","","","",""
"0303.64.00.00","2","Haddock (<i>Melanogrammus aeglefinus</i>)","[""kg""]","Free","","2.2¢/kg","",""
"0303.65.00.00","2","Coalfish (<i>Pollachius virens</i>)","[""kg""]","Free","","2.2¢/kg","",""
"0303.66.00.00","2","Hake (<i>Merluccius spp., Urophycis spp.</i>)","[""kg""]","Free","","2.2¢/kg","",""
"0303.67.00.00","2","Alaska pollock (<i>Theragra chalcogramma</i>)","[""kg""]","Free","","2.2¢/kg","",""
"0303.68.00.00","2","Blue whitings (<i>Micromesistius poutassou, Micromesistius australis</i>)","[""kg""]","Free","","2.2¢/kg","",""
"0303.69.00.00","2","Other","[""kg""]","Free","","2.2¢/kg","",""
"","1","Other fish, excluding edible fish offal of subheadings 0303.91 to 0303.99:","","","","","",""
"0303.81.00","2","Dogfish and other sharks","","1.1¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","2.2¢/kg","",""
"0303.81.00.11","3","Dogfish (<i>Squalus spp.</i>)","[""kg""]","","","","",""
"0303.81.00.91","3","Other","[""kg""]","","","","",""
"0303.82.00.00","2","Rays and skates (<i>Rajidae</i>)","[""kg""]","Free","","2.2¢/kg","",""
"0303.83.00.00","2","Toothfish (<i>Dissostichus spp.</i>)","[""kg""]","Free","","2.2¢/kg","",""
"0303.84.00.00","2","Sea Bass (<i>Dicentrachus spp.</i>)","[""kg""]","Free","","2.2¢/kg","",""
"0303.89.00","2","Other","","Free","","2.2¢/kg","",""
"","3","Smelts:","","","","","",""
"0303.89.00.01","4","Sea smelts","[""kg""]","","","","",""
"0303.89.00.04","4","Other smelts","[""kg""]","","","","",""
"0303.89.00.10","3","Cusk","[""kg""]","","","","",""
"0303.89.00.13","3","Shad and sturgeon","[""kg""]","","","","",""
"","3","Fresh-water fish:","","","","","",""
"0303.89.00.28","4","Pike and pickerel","[""kg""]","","","","",""
"0303.89.00.31","4","Perch and pike perch (including yellow pike)","[""kg""]","","","","",""
"0303.89.00.34","4","Sauger","[""kg""]","","","","",""
"0303.89.00.37","4","Whitefish","[""kg""]","","","","",""
"0303.89.00.40","4","Tilapias, other than <i>Oreochromis spp.</i>","[""kg""]","","","","",""
"0303.89.00.43","4","Other","[""kg""]","","","","",""
"0303.89.00.46","3","Atka mackerel (Atkafish) (<i>Pleurogrammus monopterygius</i>)","[""kg""]","","","","",""
"0303.89.00.49","3","Mullet","[""kg""]","","","","",""
"0303.89.00.52","3","Monkfish (<i>Lophius spp.</i>)","[""kg""]","","","","",""
"0303.89.00.55","3","Butterfish","[""kg""]","","","","",""
"0303.89.00.58","3","Capelin","[""kg""]","","","","",""
"0303.89.00.61","3","Sable fish (<i>Anoplopoma fimbria</i>)","[""kg""]","","","","",""
"0303.89.00.64","3","Ocean perch","[""kg""]","","","","",""
"0303.89.00.67","3","Snapper (<i>Lutjanidae spp.</i>)","[""kg""]","","","","",""
"0303.89.00.70","3","Grouper","[""kg""]","","","","",""
"0303.89.00.80","3","Other","[""kg""]","","","","",""
"","1","Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal:","","","","","",""
"0303.91","2","Livers, roes and milt:","","","","","",""
"0303.91.20.00","3","Sturgeon roe","[""kg""]","15%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"0303.91.40","3","Other","","Free","","44¢/kg","",""
"0303.91.40.20","4","Herring roe","[""kg""]","","","","",""
"0303.91.40.40","4","Salmon roe","[""kg""]","","","","",""
"0303.91.40.50","4","Alaska pollock (<i>Theragra chalcogramma) </i>roe","[""kg""]","","","","",""
"0303.91.40.60","4","Mullet roe","[""kg""]","","","","",""
"0303.91.40.95","4","Other","[""kg""]","","","","",""
"0303.92.00.00","2","Shark fins","[""kg""]","1.1¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","2.2¢/kg","",""
"0303.99.00.00","2","Other","[""kg""]","Free","","44¢/kg","",""
"0304","0","Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen:","","","","","",""
"","1","Fresh or chilled fillets of tilapias (<i>Oreochromis spp</i>.), catfish (<i>Pangasius spp</i>., <i>Silurus spp</i>., <i>Clarias spp</i>., <i>Ictalurus spp</i>.), carp (<i>Cyprinus spp</i>., <i>Carassius spp</i>., <i>Ctenopharyngodon idellus</i>, <i>Hypophthalmichthys spp</i>., <i>Cirrhinus spp</i>., <i>Mylopharyngodon piceus</i>, <i>Catla catla</i>, <i>Labeo spp</i>., <i>Osteochilus hasselti</i>, <i>Leptobarbus hoeveni</i>, <i>Megalobrama spp</i>.), eels (<i>Anguilla spp</i>.), Nile perch (<i>Lates niloticus</i>) and snakeheads (<i>Channa spp</i>.):","","","","","",""
"0304.31.00.00","2","Tilapias (<i>Oreochromis spp.</i>)","[""kg""]","Free","","5.5¢/kg","",""
"0304.32.00","2","Catfish (<i>Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.</i>)","","Free","","5.5¢/kg","",""
"0304.32.00.10","3","<i>Ictalurus spp.</i>","[""kg""]","","","","",""
"0304.32.00.20","3","<i>Pangasius spp.</i> including basa and tra","[""kg""]","","","","",""
"0304.32.00.90","3","Other","[""kg""]","","","","",""
"0304.33.00.00","2","Nile perch (<i>Lates niloticus</i>)","[""kg""]","Free","","5.5¢/kg","",""
"0304.39.00.00","2","Other<i></i><i></i>","[""kg""]","Free","","5.5¢/kg","",""
"","1","Fresh or chilled fillets of other fish:","","","","","",""
"0304.41.00","2","Pacific salmon (<i>Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou</i> and <i>Oncorhynchus rhodurus</i>) Atlantic Salmon (<i>Salmo salar</i>) and Danube salmon (<i>Hucho hucho</i>)","","Free","","5.5¢/kg","",""
"","3","Atlantic Salmon (<i>Salmo salar</i>):","","","","","",""
"0304.41.00.10","4","Farmed","[""kg""]","","","","",""
"0304.41.00.20","4","Not Farmed","[""kg""]","","","","",""
"0304.41.00.90","3","Other","[""kg""]","","","","",""
"0304.42.00.00","2","Trout (<i>Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae Oncorhynchus apache,</i> and <i>Oncorhynchus chrysogaster</i>)","[""kg""]","Free","","5.5¢/kg","",""
"0304.43.00","2","Flat Fish (<i>Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae,</i> and <i>Citharidae</i>)","","Free","","5.5¢/kg","",""
"0304.43.00.10","3","Sole","[""kg""]","","","","",""
"0304.43.00.15","3","Paice","[""kg""]","","","","",""
"0304.43.00.20","3","Flounder","[""kg""]","","","","",""
"0304.43.00.25","3","Greenland turbot (Greenland halibut), (<i>Reinhardtius hippoglossoides</i>)","[""kg""]","","","","",""
"0304.43.00.90","3","Other","[""kg""]","","","","",""
"0304.44.00","2","Fish of the families <i>Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae</i> and <i>Muraenolepididae</i>","","Free","","5.5¢/kg","",""
"","3","Cod:","","","","","",""
"0304.44.00.10","4","Atlantic Cod","[""kg""]","","","","",""
"0304.44.00.15","4","Other","[""kg""]","","","","",""
"0304.44.00.20","3","Haddock","[""kg""]","","","","",""
"0304.44.00.25","3","Pollock","[""kg""]","","","","",""
"0304.44.00.30","3","Hake","[""kg""]","","","","",""
"0304.44.00.90","3","Other","[""kg""]","","","","",""
"0304.45.00.00","2","Swordfish (<i>Xiphias gladius</i>)","[""kg""]","Free","","5.5¢/kg","",""
"0304.46.00.00","2","Toothfish (<i>Dissostichus spp.</i>)","[""kg""]","Free","","5.5¢/kg","",""
"0304.47.00.00","2","Dogfish and other sharks","[""kg""]","Free","","5.5¢/kg","",""
"0304.48.00.00","2","Rays and skates (<i>Rajidae)</i>","[""kg""]","Free","","5.5¢/kg","",""
"0304.49.01","2","Other","","Free","","5.5¢/kg","",""
"","3","Fresh-water fish:","","","","","",""
"0304.49.01.03","4","Pike","[""kg""]","","","","",""
"0304.49.01.06","4","Pickerel","[""kg""]","","","","",""
"0304.49.01.09","4","Whitefish","[""kg""]","","","","",""
"0304.49.01.12","4","Tilapia, other than <i>Oreochromis spp.</i>","[""kg""]","","","","",""
"0304.49.01.15","4","Other","[""kg""]","","","","",""
"0304.49.01.20","3","Atlantic ocean perch","[""kg""]","","","","",""
"0304.49.01.25","3","Cusk","[""kg""]","","","","",""
"0304.49.01.90","3","Other","[""kg""]","","","","",""
"","1","Other, fresh or chilled:","","","","","",""
"0304.51.01","2","Tilapias (<i>Oreochromis spp</i>.), catfish (<i>Pangasius spp</i>., <i>Silurus spp</i>., <i>Clarias</i> <i>spp</i>., <i>Ictalurus spp</i>.), carp (<i>Cyprinus spp</i>., <i>Carassius spp</i>., <i>Ctenopharyngodon idellus</i>, <i>Hypophthalmichthys spp</i>., <i>Cirrhinus spp</i>., <i>Mylopharyngodon piceus</i>, <i>Catla catla</i>, <i>Labeo spp</i>., <i>Osteochilus hasselti</i>, <i>Leptobarbus hoeveni</i>, <i>Megalobrama spp</i>.), eels (<i>Anguilla spp</i>.), Nile perch (<i>Lates niloticus</i>) and snakeheads (<i>Channa spp</i>.)","","Free","","5.5¢/kg","",""
"0304.51.01.10","3","<i>Ictalurus spp.</i>","[""kg""]","","","","",""
"0304.51.01.15","3","<i>Pangasius spp.</i>, including basa and tra","[""kg""]","","","","",""
"0304.51.01.20","3","Nile Perch","[""kg""]","","","","",""
"0304.51.01.25","3","Tilapias (<i>Oreochromis spp.</i>)","[""kg""]","","","","",""
"0304.51.01.90","3","Other","[""kg""]","","","","",""
"0304.52.00","2","Salmonidae","","Free","","5.5¢/kg","",""
"","3","Atlantic salmon (<i>Salmo salar</i>):","","","","","",""
"0304.52.00.10","4","Farmed","[""kg""]","","","","",""
"0304.52.00.15","4","Not farmed","[""kg""]","","","","",""
"0304.52.00.20","3","Other salmon","[""kg""]","","","","",""
"0304.52.00.90","3","Other","[""kg""]","","","","",""
"0304.53.00","2","Fish of the families <i>Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae</i> and <i>Muraenolepididae</i>","","Free","","5.5¢/kg","",""
"","3","Cod:","","","","","",""
"0304.53.00.10","4","Atlantic Cod","[""kg""]","","","","",""
"0304.53.00.15","4","Other","[""kg""]","","","","",""
"0304.53.00.20","3","Haddock","[""kg""]","","","","",""
"0304.53.00.25","3","Pollock","[""kg""]","","","","",""
"0304.53.00.30","3","Hake","[""kg""]","","","","",""
"0304.53.00.90","3","Other","[""kg""]","","","","",""
"0304.54.00.00","2","Swordfish (<i>Xiphias gladius</i>)","[""kg""]","Free","","5.5¢/kg","",""
"0304.55.00.00","2","Toothfish (<i>Dissostichus spp.</i>)","[""kg""]","Free","","5.5¢/kg","",""
"0304.56.00.00","2","Dogfish and other sharks","[""kg""]","Free","","5.5¢/kg","",""
"0304.57.00.00","2","Rays and skates (<i>Rajidae)</i>","[""kg""]","Free","","5.5¢/kg","",""
"0304.59.00","2","Other","","Free","","5.5¢/kg","",""
"","3","Fresh-water fish:","","","","","",""
"","4","Perch:","","","","","",""
"0304.59.00.03","5","Yellow perch","[""kg""]","","","","",""
"0304.59.00.06","5","Pike perch (including yellow pike)","[""kg""]","","","","",""
"0304.59.00.09","5","Other","[""kg""]","","","","",""
"0304.59.00.15","4","Pike","[""kg""]","","","","",""
"0304.59.00.20","4","Pickerel","[""kg""]","","","","",""
"0304.59.00.25","4","Whitefish","[""kg""]","","","","",""
"0304.59.00.30","4","Tilapia other than <i>Oreochromis spp.</i>","[""kg""]","","","","",""
"0304.59.00.36","4","Other","[""kg""]","","","","",""
"","3","Flat Fish:","","","","","",""
"0304.59.00.40","4","Sole","[""kg""]","","","","",""
"0304.59.00.45","4","Plaice","[""kg""]","","","","",""
"0304.59.00.50","4","Flounder","[""kg""]","","","","",""
"0304.59.00.55","4","Greenland turbot (Greenland halibut), (<i>Reinhardtius hippoglossoides</i>)","[""kg""]","","","","",""
"0304.59.00.61","4","Other","[""kg""]","","","","",""
"0304.59.00.65","3","Atlantic ocean perch","[""kg""]","","","","",""
"0304.59.00.70","3","Cusk","[""kg""]","","","","",""
"0304.59.00.91","3","Other","[""kg""]","","","","",""
"","1","Frozen fillets of tilapias (<i>Oreochromis spp</i>.), catfish (<i>Pangasius</i> <i>spp</i>., <i>Silurus spp</i>., <i>Clarias spp</i>., <i>Ictalurus spp</i>.), carp (<i>Cyprinus</i> <i>spp</i>., <i>Carassius spp</i>., <i>Ctenopharyngodon idellus</i>, <i>Hypophthalmichthys spp</i>., <i>Cirrhinus spp</i>.,  <i>Mylopharyngodon</i> <i>piceus</i>, <i>Catla catla</i>, <i>Labeo spp</i>., <i>Osteochilus hasselti</i>, <i>Leptobarbushoeveni</i>, <i>Megalobrama spp</i>.), eels (<i>Anguilla spp</i>.), Nile perch (<i>Lates niloticus</i>) and snakeheads (<i>Channa spp</i>.):","","","","","",""
"0304.61.00.00","2","Tilapias (<i>Oreochromis spp.</i>)","[""kg""]","Free","","5.5¢/kg","",""
"0304.62.00","2","Catfish (<i>Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.</i>)","","Free","","5.5¢/kg","",""
"0304.62.00.10","3","<i>Ictalurus spp.</i>","[""kg""]","","","","",""
"0304.62.00.20","3","<i>Pangasius spp</i>. (including basa and tra)","[""kg""]","","","","",""
"0304.62.00.30","3","Other Siluriformes","[""kg""]","","","","",""
"0304.62.00.90","3","Other","[""kg""]","","","","",""
"0304.63.00.00","2","Nile perch (<i>Lates niloticus</i>)","[""kg""]","Free","","5.5¢/kg","",""
"0304.69.00.00","2","Other","[""kg""]","Free","","5.5¢/kg","",""
"","1","Frozen fillets of the families <i>Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae</i> and <i>Muraenolepididae</i>:","","","","","",""
"0304.71","2","Cod (<i>Gadus morhua, Gadus ogac,Gadus macrocephalus</i>):","","","","","",""
"0304.71.10.00","3","Skinned, whether or not divided into pieces, and frozen into blocks each weighing over 4.5 kg, imported to be minced, ground or cut into pieces of uniform weights and dimensions","[""kg""]","Free","","2.8¢/kg","",""
"0304.71.50.00","3","Other","[""kg""]","Free","","5.5¢/kg","",""
"0304.72","2","Haddock (<i>Melanogrammus aeglefinus</i>):","","","","","",""
"0304.72.10.00","3","Skinned, whether or not divided into pieces, and frozen into blocks each weighing over 4.5 kg, imported to be minced, ground or cut into pieces of uniform weights and dimensions","[""kg""]","Free","","2.8¢/kg","",""
"0304.72.50.00","3","Other","[""kg""]","Free","","5.5¢/kg","",""
"0304.73","2","Coalfish (<i>Pollachius virens</i>):","","","","","",""
"0304.73.10.00","3","Skinned, whether or not divided into pieces, and frozen into blocks each weighing over 4.5 kg, imported to be minced, ground or cut into pieces of uniform weights and dimensions","[""kg""]","Free","","2.8¢/kg","",""
"0304.73.50.00","3","Other","[""kg""]","Free","","5.5¢/kg","",""
"0304.74","2","Hake (<i>Merluccius spp., Urophycis spp.</i>):","","","","","",""
"0304.74.10.00","3","Skinned, whether or not divided into pieces, and frozen into blocks each weighing over 4.5 kg, imported to be minced, ground or cut into pieces of uniform weights and dimensions","[""kg""]","Free","","2.8¢/kg","",""
"0304.74.50.00","3","Other","[""kg""]","Free","","5.5¢/kg","",""
"0304.75","2","Alaska pollock (<i>Theragra chalcogramma</i>):","","","","","",""
"0304.75.10.00","3","Skinned, whether or not divided into pieces, and frozen into blocks each weighing over 4.5 kg, imported to be minced, ground or cut into pieces of uniform weights and dimensions","[""kg""]","Free","","2.8¢/kg","",""
"0304.75.50.00","3","Other","[""kg""]","Free","","5.5¢/kg","",""
"0304.79","2","Other<i></i>:<i></i>","","","","","",""
"0304.79.10","3","Skinned, whether or not divided into pieces, and frozen into blocks each weighing over 4.5 kg, imported to be minced, ground or cut into pieces of uniform weights and dimensions","","Free","","2.8¢/kg","",""
"0304.79.10.10","4","Pollock other than Alaska pollock","[""kg""]","","","","",""
"0304.79.10.15","4","Whiting (<i>Merluccius spp.</i>)","[""kg""]","","","","",""
"0304.79.10.90","4","Other","[""kg""]","","","","",""
"0304.79.50.00","3","Other","[""kg""]","Free","","5.5¢/kg","",""
"","1","Frozen fillets of other fish:","","","","","",""
"0304.81","2","Pacific salmon (<i>Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou</i> and <i>Oncorhynchus rhodurus</i>) Atlantic Salmon (<i>Salmo salar</i>) and Danube salmon (<i>Hucho hucho</i>):","","","","","",""
"0304.81.10.00","3","Skinned, whether or not divided into pieces, and frozen into blocks each weighing over 4.5 kg, imported to be minced, ground or cut into pieces of uniform weights and dimensions","[""kg""]","Free","","2.8¢/kg","",""
"0304.81.50","3","Other","","Free","","5.5¢/kg","",""
"0304.81.50.10","4","Atlantic salmon (<i>Salmo salar</i>)","[""kg""]","","","","",""
"0304.81.50.90","4","Other","[""kg""]","","","","",""
"0304.82","2","Trout (<i>Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae Oncorhynchus apache</i> and <i>Oncorhynchus chrysogaster</i>):","","","","","",""
"0304.82.10.00","3","Skinned, whether or not divided into pieces, and frozen into blocks each weighing over 4.5 kg, imported to be minced, ground or cut into pieces of uniform weights and dimensions","[""kg""]","Free","","2.8¢/kg","",""
"0304.82.50.00","3","Other","[""kg""]","Free","","5.5¢/kg","",""
"0304.83","2","Flat fish (<i>Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae</i>, and <i>Citharidae</i>):","","","","","",""
"0304.83.10","3","Skinned, whether or not divided into pieces, and frozen into blocks each weighing over 4.5 kg, imported to be minced, ground or cut into pieces of uniform weights and dimensions","","Free","","2.8¢/kg","",""
"0304.83.10.10","4","Greenland turbot (Greenland halibut) (<i>Reinhardtius hippoglossoides</i>)","[""kg""]","","","","",""
"0304.83.10.15","4","Sole","[""kg""]","","","","",""
"0304.83.10.20","4","Flounder","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"0304.83.10.25","5","Halibut","[""kg""]","","","","",""
"0304.83.10.30","5","Turbot","[""kg""]","","","","",""
"0304.83.10.90","5","Other","[""kg""]","","","","",""
"0304.83.50","3","Other","","Free","","5.5¢/kg","",""
"0304.83.50.10","4","Greenland turbot (Greenland halibut) (<i>Reinhardtius hippoglossoides</i>)","[""kg""]","","","","",""
"0304.83.50.15","4","Sole","[""kg""]","","","","",""
"0304.83.50.20","4","Flounder","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"0304.83.50.25","5","Halibut","[""kg""]","","","","",""
"0304.83.50.30","5","Turbot","[""kg""]","","","","",""
"0304.83.50.90","5","Other","[""kg""]","","","","",""
"0304.84.00.00","2","Swordfish (<i>Xiphias gladius</i>)","[""kg""]","Free","","5.5¢/kg","",""
"0304.85.00.00","2","Toothfish (<i>Dissostichus spp.</i>)","[""kg""]","Free","","5.5¢/kg","",""
"0304.86.00.00","2","Herrings (<i>Clupea harengus, Clupea pallasii</i>)","[""kg""]","Free","","5.5¢/kg","",""
"0304.87.00.00","2","Tunas (of the genus <i>Thunnus</i>), skipjack tuna (stripe-bellied bonito) (<i>Katsuwonus pelamis</i>)","[""kg""]","Free","","5.5¢/kg","",""
"0304.88.00.00","2","Dogfish, other sharks, rays and skates (Rajidae)","[""kg""]","Free","","5.5¢/kg","",""
"0304.89","2","Other:","","","","","",""
"0304.89.10","3","Skinned, whether or not divided into pieces, and frozen into blocks each weighing over 4.5 kg, imported to be minced, ground or cut into pieces of uniform weights and dimensions","","Free","","2.8¢/kg","",""
"0304.89.10.10","4","Ocean catfish (wolf fish)","[""kg""]","","","","",""
"0304.89.10.15","4","Pickerel","[""kg""]","","","","",""
"0304.89.10.20","4","Sauger","[""kg""]","","","","",""
"","4","Perch:","","","","","",""
"0304.89.10.25","5","Atlantic ocean perch","[""kg""]","","","","",""
"0304.89.10.30","5","Other ocean perch","[""kg""]","","","","",""
"0304.89.10.35","5","Other","[""kg""]","","","","",""
"0304.89.10.90","4","Other","[""kg""]","","","","",""
"0304.89.50","3","Other","","Free","","5.5¢/kg","",""
"","4","Fresh-water fish:","","","","","",""
"","5","Perch:","","","","","",""
"0304.89.50.03","6","Yellow perch","[""kg""]","","","","",""
"0304.89.50.06","6","Pike perch (including yellow pike)","[""kg""]","","","","",""
"0304.89.50.09","6","Other","[""kg""]","","","","",""
"0304.89.50.15","5","Pickerel","[""kg""]","","","","",""
"0304.89.50.20","5","Pike","[""kg""]","","","","",""
"0304.89.50.25","5","Sauger","[""kg""]","","","","",""
"0304.89.50.30","5","Other","[""kg""]","","","","",""
"0304.89.50.35","4","Atlantic ocean perch","[""kg""]","","","","",""
"0304.89.50.40","4","Other ocean perch","[""kg""]","","","","",""
"0304.89.50.45","4","Ocean catfish (wolf fish)","[""kg""]","","","","",""
"0304.89.50.50","4","Orange roughy (<i>Hoplostethus atlanticus</i>)","[""kg""]","","","","",""
"0304.89.50.55","4","Dolphin (Mahi mahi) (<i>Coryphaena spp.</i>)","[""kg""]","","","","",""
"0304.89.50.60","4","Cusk","[""kg""]","","","","",""
"0304.89.50.91","4","Other","[""kg""]","","","","",""
"","1","Other, frozen:","","","","","",""
"0304.91","2","Swordfish (<i>Xiphias gladius</i>):","","","","","",""
"0304.91.10.00","3","In bulk or in immediate containers weighing with their contents over <il>6.8 kg</il> each","[""kg""]","Free","","2.8¢/kg","",""
"0304.91.90.00","3","Other","[""kg""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0304.92","2","Toothfish (<i>Dissostichus spp.</i>):","","","","","",""
"0304.92.10.00","3","In bulk or in immediate containers weighing with their contents over <il>6.8 kg</il> each","[""kg""]","Free","","2.8¢/kg","",""
"0304.92.90.00","3","Other","[""kg""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0304.93","2","Tilapias (<i>Oreochromis spp</i>.), catfish (<i>Pangasius spp</i>., <i>Silurus spp</i>., <i>Clarias</i> <i>spp</i>., <i>Ictalurus spp</i>.), carp (<i>Cyprinus spp</i>., <i>Carassius spp</i>., <i>Ctenopharyngodon idellus</i>, <i>Hypophthalmichthys spp</i>., <i>Cirrhinus spp</i>., <i>Mylopharyngodon piceus</i>, <i>Catla catla</i>, <i>Labeo spp</i>., <i>Osteochilus hasselti</i>, <i>Leptobarbus hoeveni</i>, <i>Megalobrama spp</i>.), eels (<i>Anguilla spp</i>.), Nile perch (<i>Lates niloticus</i>) and snakeheads (<i>Channa spp</i>.):","","","","","",""
"0304.93.10","3","In bulk or in immediate containers weighing with their contents over <il>6.8 kg</il> each","","Free","","2.8¢/kg","",""
"","4","Minced:","","","","","",""
"0304.93.10.05","5","Surimi","[""kg""]","","","","",""
"0304.93.10.10","5","Other","[""kg""]","","","","",""
"0304.93.10.90","4","Other","[""kg""]","","","","",""
"0304.93.90.00","3","Other","[""kg""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0304.94","2","Alaska pollock (<i>Theragra chalcogramma</i>):","","","","","",""
"0304.94.10","3","In bulk or in immediate containers weighing with their contents over <il>6.8 kg</il> each","","Free","","2.8¢/kg","",""
"","4","Minced:","","","","","",""
"0304.94.10.05","5","Surimi","[""kg""]","","","","",""
"0304.94.10.10","5","Other","[""kg""]","","","","",""
"0304.94.10.90","4","Other","[""kg""]","","","","",""
"0304.94.90.00","3","Other","[""kg""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0304.95","2","Fish of the families <i>Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae</i> and <i>Muraenolepididae</i>, other than Alaska Pollock (<i>Theragra chalcogramma</i>):","","","","","",""
"0304.95.10","3","In bulk or in immediate containers weighing with their contents over <il>6.8 kg</il> each","","Free","","2.8¢/kg","",""
"","4","Minced:","","","","","",""
"0304.95.10.05","5","Surimi","[""kg""]","","","","",""
"","5","Other:","","","","","",""
"0304.95.10.10","6","Cod","[""kg""]","","","","",""
"0304.95.10.15","6","Other","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"0304.95.10.20","5","Cod","[""kg""]","","","","",""
"0304.95.10.25","5","Haddock","[""kg""]","","","","",""
"0304.95.10.30","5","Pollock","[""kg""]","","","","",""
"0304.95.10.90","5","Other","[""kg""]","","","","",""
"0304.95.90.00","3","Other","[""kg""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0304.96.00.00","2","Dogfish and other sharks","[""kg""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0304.97.00.00","2","Rays and skates (<i>Rajidae)</i>","[""kg""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0304.99","2","Other:","","","","","",""
"0304.99.11","3","In bulk or in immediate containers weighing with their contents over <il>6.8 kg</il> each","","Free","","2.8¢/kg","",""
"","4","Minced:","","","","","",""
"0304.99.11.04","5","Surimi","[""kg""]","","","","",""
"0304.99.11.09","5","Other","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"0304.99.11.50","5","Sole","[""kg""]","","","","",""
"0304.99.11.60","5","Greenland turbot (Greenland halibut) (<i>Reinhardtius hippoglossoides</i>)","[""kg""]","","","","",""
"0304.99.11.70","5","Ocean perch","[""kg""]","","","","",""
"0304.99.11.82","5","Pike","[""kg""]","","","","",""
"0304.99.11.83","5","Whitefish","[""kg""]","","","","",""
"","5","Other:","","","","","",""
"0304.99.11.84","6","Fresh-water","[""kg""]","","","","",""
"0304.99.11.90","6","Tuna [of genus <i>Thunnus</i> and of fish of the genus <i>Euthynnus</i><i>(Katsuwonus) pelamis</i>]","[""kg""]","","","","",""
"0304.99.11.94","6","Other","[""kg""]","","","","",""
"0304.99.91","3","Other","","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0304.99.91.90","4","Ocean","[""kg""]","","","","",""
"0304.99.91.92","4","Other","[""kg""]","","","","",""
"0305","0","Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process:","","","","","",""
"0305.20","1","Livers, roes and milt of fish, dried, smoked, salted or in brine:","","","","","",""
"0305.20.20.00","2","Sturgeon roe","[""kg""]","7.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"0305.20.40","2","Other","","Free","","44¢/kg","",""
"0305.20.40.20","3","Salmon roe","[""kg""]","","","","",""
